,origin,destination
1066,118713840,123624419
1067,215072734,2871678
1068,2871678,16357541
1069,225469,2878623
1070,123623572,122957087
1071,18989187,27427250
1072,141052914,18988104
1073,118865242,11001816
1074,67769670,2875502
1075,195657824,118866026
1076,16305245,2870252
1077,18980811,11667125
1078,540359,84880210
1079,2874910,28888911
1080,3079912,2870829
1081,24590294,2878772
1082,18980380,119605022
1083,2878623,37569437
1084,2878772,206614279
1085,18981201,17587198
1086,2871678,2589048
1087,18981358,215476175
1088,123623002,18437759
1089,15930063,2871844
1090,2878772,215099562
1091,72120436,2875102
1092,41491147,84880210
1093,84880210,20624281
1094,21115638,2874113
1095,9626393,118865242
1096,80900661,2870542
1097,2878623,539681
1098,2878772,21693033
1099,4971289,2877021
1100,987343,2871678
1101,18874579,123621809
1102,2878772,17671326
1103,3634067,123625503
1104,2875502,13484515
1105,99977694,2874988
1106,20361654,84887955
1107,2878623,21719513
1108,94552965,27883728
1109,2874910,32609809
1110,24118690,2877272
1111,123623002,120799284
1112,59402320,2871678
1113,27887384,2878623
1114,54546997,123624419
1115,118869865,16974066
1116,19935941,84880933
1117,2875502,14780100
1118,53578947,2879270
1119,1461733,2875102
1120,154181287,18988104
1121,49524535,2871844
1122,7604379,2878623
1123,6887340,123623002
1124,84888128,6481831
1125,130371548,2874205
1126,2879848,91943620
1127,25303211,18980463
1128,84889268,17213567
1129,2870542,215282409
1130,206932883,2876862
1131,37504724,118865242
1132,20209445,118867819
1133,13766311,2871844
1134,2878623,157067048
1135,84880933,21840838
1136,2871678,202626789
1137,16709213,118869512
1138,17996818,123624419
1139,2877038,14972842
1140,2877363,16435811
1141,1953906,2878623
1142,2879848,3909587
1143,2878623,34139267
1144,11195966,2871678
1145,26376425,118869865
1146,12988916,2879848
1147,15363920,18981201
1148,15021701,2874048
1149,18980380,206431929
1150,208134555,123624419
1151,18981201,27495355
1152,56955590,2874205
1153,2871295,10761652
1154,118865242,60964366
1155,208583964,2871295
1156,84886926,51718299
1157,2878623,8696626
1158,15150802,2871678
1159,2352378,2878623
1160,94551461,181360247
1161,123624419,119101282
1162,2871295,3546771
1163,21719513,2878623
1164,2878623,207598220
1165,2876496,29720673
1166,2871678,1746436
1167,56138171,118869512
1168,2878623,2390882
1169,2797908,2878623
1170,2871295,214847340
1171,2871678,214873910
1172,118869865,119233779
1173,2871295,17201438
1174,37730660,2878623
1175,18988104,9773948
1176,24272012,2872613
1177,123625503,14541905
1178,18982341,153704847
1179,2878623,33382723
1180,2878623,214953330
1181,41076131,2877363
1182,2873021,10744715
1183,123625503,138205035
1184,2870859,23855206
1185,210706981,84881740
1186,54813191,84880210
1187,2874205,207222553
1188,84881740,103540727
1189,214922337,2877272
1190,207873749,118865242
1191,214776612,18989713
1192,2879270,182935183
1193,84885702,11012498
1194,15860207,123624419
1195,2878538,6895249
1196,2870542,57758711
1197,123620562,52235857
1198,4408210,164943220
1199,15746375,2878623
1200,56482248,2874048
1201,84885702,17508271
1202,27443988,2871295
1203,206359009,2877021
1204,84886311,27937092
1205,124178712,123625612
1206,118865242,110847598
1207,2871896,209100627
1208,23928070,2871295
1209,22150585,18982114
1210,64905330,2879270
1211,18981201,12501401
1212,84881737,86057817
1213,46279765,2871295
1214,29049532,123624063
1215,123620011,11866946
1216,2875502,27361104
1217,21626430,18982114
1218,2871678,5637189
1219,2876862,28420636
1220,18984455,197430813
1221,2685721,2871295
1222,6501339,84880280
1223,2871678,8798175
1224,2877363,44098047
1225,2871678,22939839
1226,60514223,118865242
1227,55013084,164941654
1228,2871896,18287614
1229,2871678,12114532
1230,2877399,31904997
1231,84886311,81978946
1232,31303486,118865242
1233,106612771,84884278
1234,16833508,18981201
1235,2894495,84886782
1236,17339461,2873021
1237,53126234,2878623
1238,2871295,8007235
1239,30944523,2876496
1240,3068682,18985171
1241,8189227,118865242
1242,84717,2877363
1243,2925012,118869512
1244,84880089,24339938
1245,118865242,42304843
1246,18981201,9845400
